dev,name,batch_size,time,memory,graphs
cuda,BERT_pytorch,16,4.2865,2.4723,1
cuda,Background_Matting,4,2.4633,11.3797,1
cuda,LearningToPaint,96,0.9278,0.8387,1
cuda,Super_SloMo,6,0,0,0
cuda,alexnet,128,0.6161,1.3469,1
cuda,attention_is_all_you_need_pytorch,256,3.6410,4.4647,1
cuda,dcgan,32,2.7945,0.0692,1
cuda,demucs,4,2.9761,4.0305,1
cuda,densenet121,4,4.1330,0.5709,1
cuda,detectron2_maskrcnn,1,0,0,0
cuda,dlrm,0,0.0000
cuda,drq,1,2.6730,0.0408,2
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,6,5.2811,4.9376,10
cuda,hf_Albert,8,2.9265,6.5125,1
cuda,hf_Bart,4,4.4158,5.1847,1
cuda,hf_Bert,4,5.9878,3.6906,1
cuda,hf_BigBird,2,8.9244,5.5630,64
cuda,hf_DistilBert,8,1.9900,4.0280,1
cuda,hf_GPT2,4,5.2450,5.2640,1
cuda,hf_Longformer,2,10.8540,4.9601,4
cuda,hf_Reformer,4,2.9215,1.4170,22
cuda,hf_T5,8,8.7205,18.4956,1
cuda,maml,1,0,0,0
cuda,maml_omniglot,1,3.7319,0.0047,1
cuda,mnasnet1_0,32,2.0960,1.5028,1
cuda,mobilenet_v2,96,2.0774,7.6954,1
cuda,mobilenet_v2_quantized_qat,96,6.6455,11.6132,1
cuda,mobilenet_v3_large,32,1.6297,1.4932,1
cuda,moco,32,4.9744,3.4471,11
cuda,nvidia_deeprecommender,256,1.4257,3.0640,1
cuda,opacus_cifar10,64,3.6839,3.0010,0
cuda,pyhpc_equation_of_state,1048576,0,0,0
cuda,pyhpc_isoneutral_mixing,1048576,0,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,0,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,3.0860,0.4582,1
cuda,pytorch_stargan,16,3.1883,1.1601,1
cuda,pytorch_struct,200,1.4140,0.6831,1
cuda,pytorch_unet,1,3.0594,3.4742,1
cuda,resnet18,16,0.7667,0.4570,1
cuda,resnet50,32,1.1879,2.9261,1
cuda,resnet50_quantized_qat,32,5.1416,6.2777,1
cuda,resnext50_32x4d,8,1.1562,1.0667,1
cuda,shufflenet_v2_x1_0,128,1.2672,2.7953,1
cuda,soft_actor_critic,256,0.3397,0.0127,2
cuda,speech_transformer,32,3.5558,0.8777,4
cuda,squeezenet1_1,32,0.7342,0.7515,1
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,69.3590,1.3783,1
cuda,timm_efficientnet,32,6.1476,2.9182,1
cuda,timm_nfnet,128,11.9793,14.1483,1
cuda,timm_regnet,32,16.5966,2.4251,1
cuda,timm_resnest,32,3.0013,2.0965,1
cuda,timm_vision_transformer,8,3.5132,0.6742,1
cuda,timm_vovnet,32,5.5186,2.5853,1
cuda,tts_angular,64,0.8674,0.3356,4
cuda,vgg16,64,0.6612,5.9837,1
cuda,vision_maskrcnn,4,0,0,0
cuda,yolov3,16,15.2193,8.7292,5
