dev,name,batch_size,accuracy
cuda,BERT_pytorch,2,pass
cuda,Background_Matting,4,pass
cuda,LearningToPaint,2,pass
cuda,Super_SloMo,2,pass
cuda,alexnet,2,pass
cuda,attention_is_all_you_need_pytorch,2,pass
cuda,dcgan,2,pass
cuda,demucs,4,pass
cuda,densenet121,2,pass
cuda,dlrm,2,pass
cuda,drq,1,pass
cuda,fastNLP_Bert,2,pass
cuda,functorch_dp_cifar10,2,pass
cuda,hf_Albert,2,pass
cuda,hf_Bart,2,pass
cuda,hf_Bert,2,pass
cuda,hf_BigBird,2,pass
cuda,hf_DistilBert,2,pass
cuda,hf_GPT2,2,pass
cuda,hf_GPT2_large,0,0.0000
cuda,hf_Longformer,2,fail_to_run
cuda,hf_Reformer,2,pass
cuda,hf_T5,2,pass
cuda,hf_T5_base,2,pass
cuda,hf_T5_large,0,0.0000
cuda,lennard_jones,2,pass
cuda,mnasnet1_0,2,pass
cuda,mobilenet_v2,2,pass
cuda,mobilenet_v3_large,2,pass
cuda,moco,2,pass
cuda,nvidia_deeprecommender,2,pass
cuda,pytorch_CycleGAN_and_pix2pix,1,pass
cuda,pytorch_stargan,16,pass
cuda,pytorch_struct,200,fail_to_run
cuda,pytorch_unet,2,pass
cuda,resnet18,2,pass
cuda,resnet50,2,pass
cuda,resnext50_32x4d,2,pass
cuda,shufflenet_v2_x1_0,2,pass
cuda,soft_actor_critic,256,pass
cuda,speech_transformer,2,fail_to_run
cuda,squeezenet1_1,2,pass
cuda,tacotron2,2,pass
cuda,timm_efficientdet,2,pass
cuda,timm_efficientnet,2,pass
cuda,timm_nfnet,2,pass
cuda,timm_regnet,2,pass
cuda,timm_resnest,2,pass
cuda,timm_vision_transformer,2,pass
cuda,timm_vision_transformer_large,0,0.0000
cuda,timm_vovnet,2,pass
cuda,tts_angular,2,pass
cuda,vgg16,2,pass
cuda,vision_maskrcnn,2,fail_to_run
cuda,yolov3,2,pass
