dev,name,batch_size,time,memory,graphs
cuda,BERT_pytorch,16,4.0642,2.4723,1
cuda,Background_Matting,4,2.4519,11.3797,1
cuda,LearningToPaint,96,0.8458,0.8387,1
cuda,Super_SloMo,6,0,0,0
cuda,alexnet,128,0.5214,1.3469,1
cuda,attention_is_all_you_need_pytorch,256,3.5003,4.4647,1
cuda,dcgan,32,2.6153,0.0692,1
cuda,demucs,4,2.8299,4.0305,1
cuda,densenet121,4,4.0431,0.5709,1
cuda,detectron2_maskrcnn,1,0,0,0
cuda,dlrm,0,0.0000
cuda,drq,1,2.5875,0.0408,2
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,6,5.1756,4.9376,10
cuda,hf_Albert,8,2.9156,6.5125,1
cuda,hf_Bart,4,4.4615,5.1847,1
cuda,hf_Bert,4,5.9285,3.6906,1
cuda,hf_BigBird,2,9.7267,5.5630,64
cuda,hf_DistilBert,8,1.9300,4.0280,1
cuda,hf_GPT2,4,5.3595,5.2640,1
cuda,hf_Longformer,2,10.7227,4.9601,4
cuda,hf_Reformer,4,3.0227,1.4170,22
cuda,hf_T5,8,8.6829,18.4956,1
cuda,maml,1,0,0,0
cuda,maml_omniglot,1,2.6625,0.0047,1
cuda,mnasnet1_0,32,0.8894,1.5028,1
cuda,mobilenet_v2,96,0.9259,7.6954,1
cuda,mobilenet_v2_quantized_qat,96,6.0693,11.6132,1
cuda,mobilenet_v3_large,32,1.0659,1.4932,1
cuda,moco,32,4.6211,3.4502,11
cuda,nvidia_deeprecommender,256,1.2601,3.0640,1
cuda,opacus_cifar10,64,0,0,0
cuda,pyhpc_equation_of_state,1048576,0,0,0
cuda,pyhpc_isoneutral_mixing,1048576,0,0,0
cuda,pyhpc_turbulent_kinetic_energy,1048576,0,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,2.8874,0.4582,1
cuda,pytorch_stargan,16,3.0354,1.1601,1
cuda,pytorch_struct,200,1.2882,0.6831,1
cuda,pytorch_unet,1,2.8748,3.4742,1
cuda,resnet18,16,0.6786,0.4570,1
cuda,resnet50,32,1.0563,2.9261,1
cuda,resnet50_quantized_qat,32,4.9755,6.2777,1
cuda,resnext50_32x4d,8,1.1026,1.0667,1
cuda,shufflenet_v2_x1_0,128,1.1935,2.7953,1
cuda,soft_actor_critic,256,0.3321,0.0127,2
cuda,speech_transformer,32,3.4137,0.8777,4
cuda,squeezenet1_1,32,0.6380,0.7515,1
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,69.3717,1.3783,1
cuda,timm_efficientnet,32,6.1216,2.9182,1
cuda,timm_nfnet,128,12.0029,14.1483,1
cuda,timm_regnet,32,16.3793,2.4251,1
cuda,timm_resnest,32,2.9543,2.0965,1
cuda,timm_vision_transformer,8,3.3818,0.6742,1
cuda,timm_vovnet,32,5.4595,2.5853,1
cuda,tts_angular,64,0.7809,0.3356,4
cuda,vgg16,64,0.5831,5.9837,1
cuda,vision_maskrcnn,4,0,0,0
cuda,yolov3,16,15.3340,8.7292,5
