dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.0001
cuda,beit_base_patch16_224,128,0.9988
cuda,botnet26t_256,128,0.8295
cuda,cait_m36_384,4,0.7702
cuda,coat_lite_mini,128,1.1605
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,64,1.0327
cuda,convnext_base,64,1.0978
cuda,crossvit_9_240,64,1.0512
cuda,cspdarknet53,64,0.7961
cuda,deit_base_distilled_patch16_224,128,1.0326
cuda,densenet121,128,1.0300
cuda,dla102,128,1.0018
cuda,dm_nfnet_f0,128,0.9992
cuda,dpn107,0,0.0000
cuda,eca_botnext26ts_256,128,0.8281
cuda,eca_halonext26ts,128,0.8282
cuda,ecaresnet101d,128,0.7957
cuda,ese_vovnet19b_dw,128,0.8535
cuda,fbnetc_100,0,0.0000
cuda,fbnetv3_b,0,0.0000
cuda,gernet_l,128,0.7684
cuda,ghostnet_100,0,0.0000
cuda,gluon_inception_v3,128,1.0002
cuda,gluon_senet154,64,0.8792
cuda,gluon_xception65,0,0.0000
cuda,gmixer_24_224,128,0.9651
cuda,gmlp_s16_224,128,0.8020
cuda,hardcorenas_a,0,0.0000
cuda,hrnet_w18,0,0.0000
cuda,inception_v3,128,1.0002
cuda,jx_nest_base,64,1.1658
cuda,lcnet_050,128,0.8923
cuda,legacy_senet154,0,0.0000
cuda,levit_128,0,0.0000
cuda,mixer_b16_224,128,0.8873
cuda,mixnet_l,0,0.0000
cuda,mnasnet_100,0,0.0000
cuda,mobilenetv2_100,0,0.0000
cuda,mobilenetv3_large_100,0,0.0000
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,16,1.0039
cuda,nfnet_l0,128,1.0792
cuda,pit_b_224,64,1.0008
cuda,pnasnet5large,16,1.0062
cuda,poolformer_m36,64,1.0434
cuda,regnety_002,128,1.0366
cuda,repvgg_a2,0,0.0000
cuda,res2net101_26w_4s,128,0.9968
cuda,res2net50_14w_8s,128,1.0266
cuda,res2next50,128,0.9978
cuda,resmlp_12_224,128,1.2592
cuda,resnest101e,64,1.0190
cuda,resnet18,128,1.0005
cuda,rexnet_100,0,0.0000
cuda,sebotnet33ts_256,128,0.8498
cuda,selecsls42b,128,0.9996
cuda,spnasnet_100,0,0.0000
cuda,swin_base_patch4_window7_224,64,1.0783
cuda,swsl_resnext101_32x16d,32,0.9894
cuda,tf_efficientnet_b0,128,0.8805
cuda,tf_mixnet_l,128,0.9270
cuda,tinynet_a,0,0.0000
cuda,tnt_s_patch16_224,128,0.9536
cuda,twins_pcpvt_base,128,0.9335
cuda,visformer_small,0,0.0000
cuda,vit_base_patch16_224,128,0.9479
cuda,volo_d1_224,128,0.9665
cuda,xcit_large_24_p8_224,11,0.9884
