dev,name,batch_size,speedup
cuda,adv_inception_v3,128,1.2672
cuda,beit_base_patch16_224,0,0.0000
cuda,botnet26t_256,128,1.2292
cuda,cait_m36_384,0,0.0000
cuda,coat_lite_mini,128,1.4526
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,0,0.0000
cuda,convnext_base,0,0.0000
cuda,crossvit_9_240,64,1.3620
cuda,cspdarknet53,64,1.0999
cuda,deit_base_distilled_patch16_224,0,0.0000
cuda,densenet121,0,0.0000
cuda,dla102,0,0.0000
cuda,dm_nfnet_f0,0,0.0000
cuda,dpn107,0,0.0000
cuda,eca_botnext26ts_256,0,0.0000
cuda,eca_halonext26ts,0,0.0000
cuda,ecaresnet101d,0,0.0000
cuda,ese_vovnet19b_dw,128,1.1299
cuda,fbnetc_100,128,1.0811
cuda,fbnetv3_b,128,0.9167
cuda,gernet_l,128,1.0014
cuda,ghostnet_100,0,0.0000
cuda,gluon_inception_v3,128,1.2666
cuda,gluon_senet154,0,0.0000
cuda,gluon_xception65,32,0.9010
cuda,gmixer_24_224,0,0.0000
cuda,gmlp_s16_224,0,0.0000
cuda,hardcorenas_a,128,1.1719
cuda,hrnet_w18,128,1.3451
cuda,inception_v3,128,1.2678
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.2314
cuda,legacy_senet154,0,0.0000
cuda,levit_128,0,0.0000
cuda,mixer_b16_224,0,0.0000
cuda,mixnet_l,0,0.0000
cuda,mnasnet_100,128,1.1080
cuda,mobilenetv2_100,128,1.0645
cuda,mobilenetv3_large_100,128,1.1396
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,0,0.0000
cuda,nfnet_l0,128,1.3180
cuda,pit_b_224,64,1.2179
cuda,pnasnet5large,0,0.0000
cuda,poolformer_m36,64,1.0111
cuda,regnety_002,128,1.4170
cuda,repvgg_a2,128,1.0513
cuda,res2net101_26w_4s,0,0.0000
cuda,res2net50_14w_8s,128,1.2641
cuda,res2next50,128,1.2969
cuda,resmlp_12_224,128,0.6477
cuda,resnest101e,0,0.0000
cuda,resnet18,128,1.2425
cuda,rexnet_100,0,0.0000
cuda,sebotnet33ts_256,0,0.0000
cuda,selecsls42b,128,1.2395
cuda,spnasnet_100,128,1.0474
cuda,swin_base_patch4_window7_224,64,1.0962
cuda,swsl_resnext101_32x16d,32,1.0938
cuda,tf_efficientnet_b0,0,0.0000
cuda,tf_mixnet_l,0,0.0000
cuda,tinynet_a,0,0.0000
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,0,0.0000
cuda,visformer_small,128,1.0235
cuda,vit_base_patch16_224,0,0.0000
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,0,0.0000
