
cuda,adv_inception_v3,0,0.0000
cuda,beit_base_patch16_224,64,0.9346
cuda,botnet26t_256,128,0.8948
cuda,cait_m36_384,2,0.9719
cuda,coat_lite_mini,0,0.0000
cuda,convit_base,0,0.0000
cuda,convmixer_768_32,32,1.0584
cuda,convnext_base,32,0.9467
cuda,crossvit_9_240,0,0.0000
cuda,cspdarknet53,64,0.9601
cuda,deit_base_distilled_patch16_224,0,0.0000
cuda,densenet121,64,1.0881
cuda,dla102,0,0.0000
cuda,dm_nfnet_f0,128,0.9984
cuda,dpn107,0,0.0000
cuda,eca_botnext26ts_256,128,0.8889
cuda,eca_halonext26ts,128,0.8878
cuda,ecaresnet101d,64,0.8892
cuda,ese_vovnet19b_dw,128,0.9421
cuda,fbnetc_100,0,0.0000
cuda,fbnetv3_b,128,1.1206
cuda,gernet_l,128,0.9338
cuda,ghostnet_100,128,1.0540
cuda,gluon_inception_v3,0,0.0000
cuda,gluon_senet154,32,1.0701
cuda,gluon_xception65,32,1.0529
cuda,gmixer_24_224,64,0.9323
cuda,gmlp_s16_224,64,0.8038
cuda,hardcorenas_a,128,1.0716
cuda,hrnet_w18,0,0.0000
cuda,inception_v3,0,0.0000
cuda,jx_nest_base,0,0.0000
cuda,lcnet_050,128,1.0540
cuda,legacy_senet154,0,0.0000
cuda,levit_128,0,0.0000
cuda,mixer_b16_224,64,0.8225
cuda,mixnet_l,0,0.0000
cuda,mnasnet_100,0,0.0000
cuda,mobilenetv2_100,0,0.0000
cuda,mobilenetv3_large_100,128,1.1186
cuda,mobilevit_s,0,0.0000
cuda,nasnetalarge,16,1.0020
cuda,nfnet_l0,128,1.0797
cuda,pit_b_224,64,0.9009
cuda,pnasnet5large,16,1.0064
cuda,poolformer_m36,64,0.9224
cuda,regnety_002,128,1.1068
cuda,repvgg_a2,128,1.0242
cuda,res2net101_26w_4s,64,1.0440
cuda,res2net50_14w_8s,2,1.0351
cuda,res2next50,2,1.0551
cuda,resmlp_12_224,128,1.1484
cuda,resnest101e,32,1.0893
cuda,resnet18,128,0.9992
cuda,rexnet_100,0,0.0000
cuda,sebotnet33ts_256,64,0.9093
cuda,selecsls42b,128,0.9996
cuda,spnasnet_100,0,0.0000
cuda,swin_base_patch4_window7_224,64,0.9787
cuda,swsl_resnext101_32x16d,64,0.9991
cuda,tf_efficientnet_b0,128,0.9991
cuda,tf_mixnet_l,64,1.0124
cuda,tinynet_a,128,1.0757
cuda,tnt_s_patch16_224,0,0.0000
cuda,twins_pcpvt_base,0,0.0000
cuda,visformer_small,0,0.0000
cuda,vit_base_patch16_224,64,0.8821
cuda,volo_d1_224,0,0.0000
cuda,xcit_large_24_p8_224,5,0.9985
